,text_agent,category_agent,sub-category_agent,speaker_customer,text_customer,clean _text_custumer,cleaned_text_of_custumer_for_clusters,cluster_for_custumer,clean_text_agent_corpus
7212,goodbye,manage_account,status_service_removed,customer,that's all,thats all,thats all,75,goodbye
7213,"hi, how can i help you?",purchase_dispute,mistimed_billing_already_returned,customer,and you too,and you too,and you too,30,hi how can i help you
7214,"ok, i can help with that. one moment.",purchase_dispute,mistimed_billing_already_returned,customer,"hello,  i have a problem with my bill",hello i have a problem with my bill,hello i have a problem with my bill,238,ok i can help with that one moment
7215,can i have your full name or account id please?,purchase_dispute,mistimed_billing_already_returned,customer,i was charged twice for something i bought,i was charged twice for something i bought,i was charged twice for something i bought,273,can i have your full name or account id please
7216,can i also have your username and email please?,purchase_dispute,mistimed_billing_already_returned,customer,ok,ok,ok,52,can i also have your username and email please
7217,thank you,purchase_dispute,mistimed_billing_already_returned,customer,account is <account_id>,account is account_id,account is account_id,7,thank you
7218,"and to clarify, you returned an item and didn't receive your credit?",purchase_dispute,mistimed_billing_already_returned,customer,"no, only the 1 jacket",no only the jacket,no only the jacket,143,and to clarify you returned an item and didnt receive your credit
7219,"ok, can i also have your order id?",purchase_dispute,mistimed_billing_already_returned,customer,order id: <order_id>,order id order_id,order id order_id,124,ok can i also have your order id
7220,do you know how many days it's been since you started the refund?,purchase_dispute,mistimed_billing_already_returned,customer,crystal minh,crystal minh,crystal minh,35,do you know how many days its been since you started the refund
7221,"ok, do you know your membership level?",purchase_dispute,mistimed_billing_already_returned,customer,silver,silver,silver,51,ok do you know your membership level
7222,thank you,purchase_dispute,mistimed_billing_already_returned,customer,<amount>.00,amount00,amount00,276,thank you
7223,the refund process will typically take up to 7 days to show up in your account,purchase_dispute,mistimed_billing_already_returned,customer,yes,yes,yes,183,the refund process will typically take up to days to show up in your account
7224,"i can't start another refund for you today, because it might end up refunding you twice",purchase_dispute,mistimed_billing_already_returned,customer,"thank you! no, that is all!",thank you no that is all,thank you no that is all,164,i cant start another refund for you today because it might end up refunding you twice
7225,"yes, it should be there within the next 3 days",purchase_dispute,mistimed_billing_already_returned,customer,hi i’m being charged for an order i never placed,hi im being charged for an order i never placed,hi im being charged for an order i never placed,153,yes it should be there within the next days
7226,sorry for the inconvenience,purchase_dispute,mistimed_billing_already_returned,customer,crystal minh,crystal minh,crystal minh,35,sorry for the inconvenience
7227,can i help with anything else?,purchase_dispute,mistimed_billing_already_returned,customer,<email>,email,email,43,can i help with anything else
7228,you're welcome! have a great day,purchase_dispute,mistimed_billing_already_returned,customer,<username>,username,username,305,youre welcome have a great day
7229,hello how can i hel p you,order_issue,manage_downgrade,customer,<order_id>,order_id,order_id,3,hello how can i hel p you
7230,sure,order_issue,manage_downgrade,customer,"yes, for some shoes",yes for some shoes,yes for some shoes,256,sure
7231,you want to downgrade,order_issue,manage_downgrade,customer,only a guest,only a guest,only a guest,166,you want to downgrade
7232,what is your full name please,order_issue,manage_downgrade,customer,so what does that mean,so what does that mean,so what does that mean,374,what is your full name please
7233,also account id adn order id,order_issue,manage_downgrade,customer,that’s it,thats it,thats it,102,also account id adn order id
7234,what is your shipping status please?,order_issue,manage_downgrade,customer,i'd like to modify my order,id like to modify my order,id like to modify my order,96,what is your shipping status please
7235,what is your membership level,order_issue,manage_downgrade,customer,i want to change the shipping type. i want free shipping,i want to change the shipping type i want free shipping,i want to change the shipping type i want free shipping,388,what is your membership level
7236,"i can delay it to nesxt week, no problem",order_issue,manage_downgrade,customer,it is in transit at the moment,it is in transit at the moment,it is in transit at the moment,345,i can delay it to nesxt week no problem
7237,do you need anything else?,order_issue,manage_downgrade,customer,rodriguez domingo,rodriguez domingo,rodriguez domingo,29,do you need anything else
7238,hi! how can i help you today?,manage_account,status_shipping_question,customer,"account id is <account_id>, order id is <order_id>",account id is account_id order id is order_id,account id is account_id order id is order_id,139,hi how can i help you today
7239,"no problem, one moment please.",manage_account,status_shipping_question,customer,i'm gold,im gold,im gold,69,no problem one moment please
7240,"i'm guessing you need shipping information, correct?",manage_account,status_shipping_question,customer,oh wow. that would be very nice,oh wow that would be very nice,oh wow that would be very nice,270,im guessing you need shipping information correct
7241,"no problem, just a moment!",manage_account,status_shipping_question,customer,"no, that's all. thank you",no thats all thank you,no thats all thank you,164,no problem just a moment
7242,can i please have your full name or account id?,manage_account,status_shipping_question,customer,hi i have a question about my order,hi i have a question about my order,hi i have a question about my order,300,can i please have your full name or account id
7243,great,manage_account,status_shipping_question,customer,i made an order and tried to apply a promo code but it didn't take,i made an order and tried to apply a promo code but it didnt take,i made an order and tried to apply a promo code but it didnt take,130,great
7244,"shipping for international service is free for your account, chloe.",manage_account,status_shipping_question,customer,it said it is invalid,it said it is invalid,it said it is invalid,177,shipping for international service is free for your account chloe
7245,is there anything else i can do for you today?,manage_account,status_shipping_question,customer,yes it's chloe zhang,yes its chloe zhang,yes its chloe zhang,9,is there anything else i can do for you today
7246,"great, have a good day!",manage_account,status_shipping_question,customer,ok cause i just got the code like two days ago,ok cause i just got the code like two days ago,ok cause i just got the code like two days ago,170,great have a good day
7247,hi can i help you with something today?,single_item_query,boots_other_3,customer,silver,silver,silver,51,hi can i help you with something today
7248,those are nice boots. hold on one minute and i can pull that up for you.,single_item_query,boots_other_3,customer,ok great i'll use that,ok great ill use that,ok great ill use that,10,those are nice boots hold on one minute and i can pull that up for you
7249,these particular boots are high-end leather.,single_item_query,boots_other_3,customer,that was it,that was it,that was it,102,these particular boots are high end leather
7250,is there anything else i can help you with today?,single_item_query,boots_other_3,customer,you too,you too,you too,30,is there anything else i can help you with today
7251,thanks and have a great day.,single_item_query,boots_other_3,customer,i'm thinking of buying some sweatshirts.  my member level is gold.  what is your return policy?  my name is joyce wu.,im thinking of buying some sweatshirts my member level is gold what is your return policy my name is joyce wu,im thinking of buying some sweatshirts my member level is gold what is your return policy my name is joyce wu,314,thanks and have a great day
7252,hi how can i help?,subscription_inquiry,status_due_date,customer,"okay,thanks.",okaythanks,okaythanks,234,hi how can i help
7253,what would you like to know?,subscription_inquiry,status_due_date,customer,"no, thank you.",no thank you,no thank you,342,what would you like to know
7254,"yes, certainly. what is your name?",subscription_inquiry,status_due_date,customer,hi. how much are the tommy hilfiger boots,hi how much are the tommy hilfiger boots,hi how much are the tommy hilfiger boots,138,yes certainly what is your name
7255,do you have your account & order id?,subscription_inquiry,status_due_date,customer,my credit card is not working,my credit card is not working,my credit card is not working,267,do you have your account & order id
7256,"yes, your subscription is due today. the amount due is $14",subscription_inquiry,status_due_date,customer,yes,yes,yes,183,yes your subscription is due today the amount due is 14
7257,sure,subscription_inquiry,status_due_date,customer,rodriguez domingo,rodriguez domingo,rodriguez domingo,29,sure
7258,i have taken care of that.,subscription_inquiry,status_due_date,customer,okay,okay,okay,262,i have taken care of that
7259,"for future reference, here is a link so that you can find this out your self",subscription_inquiry,status_due_date,customer,"didn't work, i'll try logging out and in",didnt work ill try logging out and in,didnt work ill try logging out and in,22,for future reference here is a link so that you can find this out your self
7260,is there anything else for you today?,subscription_inquiry,status_due_date,customer,"nope, still invalid",nope still invalid,nope still invalid,114,is there anything else for you today
7261,thanks & have a nice day,subscription_inquiry,status_due_date,customer,of course,of course,of course,17,thanks & have a nice day
7262,hello. how can i help you?,storewide_query,membership_4,customer,okay,okay,okay,262,hello how can i help you
7263,"sure, what did you need?",storewide_query,membership_4,customer,not right now,not right now,not right now,230,sure what did you need
7264,let me look that up for you.,storewide_query,membership_4,customer,not enough time right now,not enough time right now,not enough time right now,0,let me look that up for you
7265,sorry for the wait. premium membership lasts for the remainder of the year you got it through the end of the following year.,storewide_query,membership_4,customer,no thanks,no thanks,no thanks,88,sorry for the wait premium membership lasts for the remainder of the year you got it through the end of the following year
7266,"so, if you got it today, it would run through end of year 2021.",storewide_query,membership_4,customer,i want to upgrade my shipping.,i want to upgrade my shipping,i want to upgrade my shipping,268,so if you got it today it would run through end of year 
7267,is there anything else i can help with?,storewide_query,membership_4,customer,overnight shipping.,overnight shipping,overnight shipping,156,is there anything else i can help with
7268,great. happy shopping!,storewide_query,membership_4,customer,please fix this order issue.,please fix this order issue,please fix this order issue,242,great happy shopping
7269,"hi, how are you doing today?",storewide_query,membership_2,customer,rodriguez domingo,rodriguez domingo,rodriguez domingo,29,hi how are you doing today
7270,great! what can i help you with?,storewide_query,membership_2,customer,i just said upgrade.,i just said upgrade,i just said upgrade,246,great what can i help you with
7271,"to qualify for a higher membership, you need to purchase a certain amount from our store throughout the year.",storewide_query,membership_2,customer,<account_id>,account_id,account_id,176,to qualify for a higher membership you need to purchase a certain amount from our store throughout the year
7272,"to increase to gold, you will need to make $2000 worth of purchases within the year then.",storewide_query,membership_2,customer, <order_id>,order_id,order_id,3,to increase to gold you will need to make 2000 worth of purchases within the year then
7273,perfect! have a great day,storewide_query,membership_2,customer,order received,order received,order received,91,perfect have a great day
7274,hi and welcome to acmecorp.  how can i help you today?,storewide_query,membership_3,customer,gold,gold,gold,69,hi and welcome to acmecorp how can i help you today
7275,"sure, i'll be happy to let your know.",storewide_query,membership_3,customer,thank you.,thank you,thank you,2,sure ill be happy to let your know
7276,"you get access to our annual holiday party with an open bar and free flights from anywhere in the usa.  if you're bronze, you save on shipping fees and you get promo codes.",storewide_query,membership_3,customer,ok,ok,ok,52,you get access to our annual holiday party with an open bar and free flights from anywhere in the usa if youre bronze you save on shipping fees and you get promo codes
7277,"if you're silver, you get all the previous features of bronze and can have agents do purchase for you and cancel orders.",storewide_query,membership_3,customer,"yeah, it is great perk.",yeah it is great perk,yeah it is great perk,369,if youre silver you get all the previous features of bronze and can have agents do purchase for you and cancel orders
7278,"wild gold, you get unlimited refunds and always get the benefit of the doubt for any transaction.",storewide_query,membership_3,customer,that's why i signed up for gold.,thats why i signed up for gold,thats why i signed up for gold,134,wild gold you get unlimited refunds and always get the benefit of the doubt for any transaction
7279,is there anything else i can help you with today?,storewide_query,membership_3,customer,i trust this company.,i trust this company,i trust this company,376,is there anything else i can help you with today
7280,"great, i hope you'll become a member in the future.  hope you have a nice day!",storewide_query,membership_3,customer,thank you.,thank you,thank you,2,great i hope youll become a member in the future hope you have a nice day
7281,"hello, how can i help you?",account_access,recover_username,customer,no,no,no,167,hello how can i help you
7282,"okay, i can help you retrieve your username",account_access,recover_username,customer,bye,bye,bye,98,okay i can help you retrieve your username
7283,"in order to verify your identity, i need the following information:",account_access,recover_username,customer,you too,you too,you too,30,in order to verify your identity i need the following information
7284,"full name, zip code, and email address or phone number",account_access,recover_username,customer,i want to know what my refund status is.,i want to know what my refund status is,i want to know what my refund status is,250,full name zip code and email address or phone number
7285,"okay, i successfully verified your identity",account_access,recover_username,customer,alessandro phoenix,alessandro phoenix,alessandro phoenix,28,okay i successfully verified your identity
7286,your username is asanders1,account_access,recover_username,customer,<username> <email> <order_id>,username email order_id,username email order_id,283,your username is asanders1
7287,is there anything else i can help you with?,account_access,recover_username,customer,i want to add to the refund amount by returning some calvin klein jeans.,i want to add to the refund amount by returning some calvin klein jeans,i want to add to the refund amount by returning some calvin klein jeans,314,is there anything else i can help you with
7288,have a great day!,account_access,recover_username,customer,my records show $100 existed before i add $<amount> for the jeans for $1<amount> total.,my records show 100 existed before i add amount for the jeans for 1amount total,my records show 100 existed before i add amount for the jeans for 1amount total,181,have a great day
7289,"hello, how may i assist you today?",order_issue,status_mystery_fee,customer,yes.,yes,yes,183,hello how may i assist you today
7290,what's your full name?,order_issue,status_mystery_fee,customer,i want to know the return policy.,i want to know the return policy,i want to know the return policy,142,whats your full name
7291,can i have your account and order ids?,order_issue,status_mystery_fee,customer,thanks for the info.,thanks for the info,thanks for the info,136,can i have your account and order ids
7292,i've located your account with us.,order_issue,status_mystery_fee,customer,that's all,thats all,thats all,75,ive located your account with us
7293,"can you clarify the extra charge for me, please? is it a higher than average shipping fee?",order_issue,status_mystery_fee,customer,hi. i need to check my account for info on my order. i can't seem to remember my dang password though.,hi i need to check my account for info on my order i cant seem to remember my dang password though,hi i need to check my account for info on my order i cant seem to remember my dang password though,245,can you clarify the extra charge for me please is it a higher than average shipping fee
7294,what's your membership status?,order_issue,status_mystery_fee,customer,"yes please, my name is joseph banter.",yes please my name is joseph banter,yes please my name is joseph banter,304,whats your membership status
7295,thanks for that information.,order_issue,status_mystery_fee,customer,it's <username>,its username,its username,305,thanks for that information
7296,let me dig a bit deeper and see if there was a mistake made with that fee. just a moment please.,order_issue,status_mystery_fee,customer,sure its <pin_number>,sure its pin_number,sure its pin_number,58,let me dig a bit deeper and see if there was a mistake made with that fee just a moment please
7297,"i apologize for the wait, i am still trying to figure out the answer.",order_issue,status_mystery_fee,customer,"ok thank you, i will try it now.",ok thank you i will try it now,ok thank you i will try it now,282,i apologize for the wait i am still trying to figure out the answer
7298,"unfortunately the processing fee is being added to customers who have placed orders in the last few weeks, due to the current covid 19 crisis.",order_issue,status_mystery_fee,customer,no thanks,no thanks,no thanks,88,unfortunately the processing fee is being added to customers who have placed orders in the last few weeks due to the current covid crisis
7299,"i apologize for the inconvenience, but it's out of my hands.",order_issue,status_mystery_fee,customer,hi! i would like to check the status of my order,hi i would like to check the status of my order,hi i would like to check the status of my order,242,i apologize for the inconvenience but its out of my hands
7300,what is the shipping status of the order?,order_issue,status_mystery_fee,customer,i am sorry order refund,i am sorry order refund,i am sorry order refund,74,what is the shipping status of the order
7301,"unfortunately, david, you will have to wait until your order arrives before we can begin the refund process.",order_issue,status_mystery_fee,customer,yes,yes,yes,183,unfortunately david you will have to wait until your order arrives before we can begin the refund process
7302,"no, sorry about that.",order_issue,status_mystery_fee,customer,crystal minh,crystal minh,crystal minh,35,no sorry about that
7303,"i cannot speculate about what will happen in the future, i would advise you to call us back as soon as your order arrives.",order_issue,status_mystery_fee,customer,<username>,username,username,305,i cannot speculate about what will happen in the future i would advise you to call us back as soon as your order arrives
7304,"thanks david, have a great day!",order_issue,status_mystery_fee,customer,<email>,email,email,43,thanks david have a great day
7305,"hello, what can i do for you today?",account_access,reset_2fa,customer,<order_id>,order_id,order_id,3,hello what can i do for you today
7306,okay what about them would you like to know?,account_access,reset_2fa,customer,i want to find out if the shipping charge on my order was in error as it seems higher than what i felt like it should be.,i want to find out if the shipping charge on my order was in error as it seems higher than what i felt like it should be,i want to find out if the shipping charge on my order was in error as it seems higher than what i felt like it should be,57,okay what about them would you like to know
7307,"well the additional advantages you'd get from going to gold would be unlimited refunds and benefit of the doubt in all transactions, on top of all your other current benifits.",account_access,reset_2fa,customer,i looked at my order confirmation and it seems i never get charged that much on shipping when i order things.,i looked at my order confirmation and it seems i never get charged that much on shipping when i order things,i looked at my order confirmation and it seems i never get charged that much on shipping when i order things,421,well the additional advantages youd get from going to gold would be unlimited refunds and benefit of the doubt in all transactions on top of all your other current benifits
7308,"there aren't ""fees"" but you're upgraded based on how much you spend per year. silver is $1000 to $1999, gold is $2000 and up",account_access,reset_2fa,customer,joseph banter,joseph banter,joseph banter,42,there arent fees but youre upgraded based on how much you spend per year silver is 1000 to 1999 gold is 2000 and up
7309,is that all i can do for you today?,account_access,reset_2fa,customer,<username>  <email>  <order_id>,username email order_id,username email order_id,283,is that all i can do for you today
7310,have a nice day!,account_access,reset_2fa,customer,delivered,delivered,delivered,396,have a nice day
7311,"hello, how can i help you today",account_access,recover_password,customer,that is all i needed.,that is all i needed,that is all i needed,99,hello how can i help you today
7312,"okay, could i get your full  account id and username please",account_access,recover_password,customer,"hi, i want to close my account. please could you check my account and close",hi i want to close my account please could you check my account and close,hi i want to close my account please could you check my account and close,259,okay could i get your full account id and username please
7313,"okay, i cannot give you your old password but we can generate a new one. i just need your pin number or for you to answer your security question which is what is your mothers maiden name",account_access,recover_password,customer,i want to close my subscription your site.,i want to close my subscription your site,i want to close my subscription your site,395,okay i cannot give you your old password but we can generate a new one i just need your pin number or for you to answer your security question which is what is your mothers maiden name
7314,"okay, here is your temp password de30ufyog",account_access,recover_password,customer,i am moving another country,i am moving another country,i am moving another country,222,okay here is your temp password de30ufyog
7315,you can log into your account and change your password if you wish,account_access,recover_password,customer,yes,yes,yes,183,you can log into your account and change your password if you wish
7316,"no problem, can i help you with anything else",account_access,recover_password,customer,"no, thank you bye",no thank you bye,no thank you bye,37,no problem can i help you with anything else
7317,okay have a nice day,account_access,recover_password,customer,"hi, i would like to know the state of my refund",hi i would like to know the state of my refund,hi i would like to know the state of my refund,250,okay have a nice day
7318,hi. how may i assist you today?,shipping_issue,manage,customer,username: <username>,username username,username username,6,hi how may i assist you today
7319,sure. let me get your name please?,shipping_issue,manage,customer,email: <email>,email email,email email,43,sure let me get your name please
7320,thanks joyce. what did you need to change in your shipping information?,shipping_issue,manage,customer,order id: <order_id>,order id order_id,order id order_id,124,thanks joyce what did you need to change in your shipping information
7321,i see. i can sorrect that for you. can you give me your full address?,shipping_issue,manage,customer,$<amount>,amount,amount,276,i see i can sorrect that for you can you give me your full address
7322,and what do we currently have for the street name?,shipping_issue,manage,customer,i would like a gift card,i would like a gift card,i would like a gift card,200,and what do we currently have for the street name
7323,for identity verification can i get your user name and phone number?,shipping_issue,manage,customer,"<street_address>  monterey, ny <zip_code>",street_address monterey ny zip_code,street_address monterey ny zip_code,92,for identity verification can i get your user name and phone number
7324,your address has been updated. was there anything else you needed today?,shipping_issue,manage,customer,"okay, thank you!",okay thank you,okay thank you,339,your address has been updated was there anything else you needed today
7325,then please enjoy the rest of your day.,shipping_issue,manage,customer,that is all,that is all,that is all,75,then please enjoy the rest of your day
7326,"hi, how can i help you?",manage_account,status_service_removed,customer,"you too, thanks!",you too thanks,you too thanks,339,hi how can i help you
7327,"hi, sorry",manage_account,status_service_removed,customer,hi,hi,hi,84,hi sorry
7328,i can do that for you.,manage_account,status_service_removed,customer,i would like to know if there is anything that could cancel my sub,i would like to know if there is anything that could cancel my sub,i would like to know if there is anything that could cancel my sub,171,i can do that for you
7329,can i please get your full name or account id?,manage_account,status_service_removed,customer,"yeah, i would like to know that",yeah i would like to know that,yeah i would like to know that,127,can i please get your full name or account id
7330,that's fine. how did you find out about your subscription removal?,manage_account,status_service_removed,customer,cool,cool,cool,207,thats fine how did you find out about your subscription removal
7331,i'll check the system to see how this happened.,manage_account,status_service_removed,customer,thanks for clearing that,thanks for clearing that,thanks for clearing that,323,ill check the system to see how this happened
7332,"good news, our system says your subscription is still active!",manage_account,status_service_removed,customer,that would be all,that would be all,that would be all,81,good news our system says your subscription is still active
7333,can you see the subscription on your account now?,manage_account,status_service_removed,customer,have a nice day,have a nice day,have a nice day,322,can you see the subscription on your account now
7334,"great, thank you!",manage_account,status_service_removed,customer,hi.  i had returned a jacket for $<amount> but i do not see that the charge has been reversed on my statement yet.,hi i had returned a jacket for amount but i do not see that the charge has been reversed on my statement yet,hi i had returned a jacket for amount but i do not see that the charge has been reversed on my statement yet,421,great thank you
7335,"hey, i’m donny. how can i help you today?",product_defect,refund_update,customer,my name is crystal minh.,my name is crystal minh,my name is crystal minh,208,hey im donny how can i help you today
7336,absolutely. let me check on that for you,product_defect,refund_update,customer,and my order id is <order_id>,and my order id is order_id,and my order id is order_id,108,absolutely let me check on that for you
7337,what's your full name and account id?,product_defect,refund_update,customer,sure.  my username is <username> and my email address is <email>.,sure my username is username and my email address is email,sure my username is username and my email address is email,274,whats your full name and account id
7338,"and could i get your username, email, and order id please, joseph?",product_defect,refund_update,customer,ok i hope to see it soon.  thank you for your help.,ok i hope to see it soon thank you for your help,ok i hope to see it soon thank you for your help,46,and could i get your username email and order id please joseph
7339,looks like the refund is still in progress,product_defect,refund_update,customer,no that is it for today.,no that is it for today,no that is it for today,21,looks like the refund is still in progress
7340,how would you like your refund sent?,product_defect,refund_update,customer,you too.,you too,you too,30,how would you like your refund sent
7341,i can go ahead and add that item for you if you would like,product_defect,refund_update,customer,"yes i never received my package and would like to check the shipping status, please",yes i never received my package and would like to check the shipping status please,yes i never received my package and would like to check the shipping status please,284,i can go ahead and add that item for you if you would like
7342,let me get that started for you,product_defect,refund_update,customer,ok,ok,ok,52,let me get that started for you
7343,no problem. the item has been added to your order. is there anything else i could help with?,product_defect,refund_update,customer,"sure, its norman bouchard, username<username>. email is  <email> and the order id is  <order_id>",sure its norman bouchard usernameusername email is email and the order id is order_id,sure its norman bouchard usernameusername email is email and the order id is order_id,67,no problem the item has been added to your order is there anything else i could help with
7344,my pleasure. have a great day!,product_defect,refund_update,customer,9 long days,long days,long days,292,my pleasure have a great day
7345,"hi, how can i help you?",order_issue,status_quantity,customer,"okay, thank you",okay thank you,okay thank you,339,hi how can i help you
7346,"okay, are you wanting to make a payment on your subscription?",order_issue,status_quantity,customer,"<street_address>  raleigh, ca <zip_code>",street_address raleigh ca zip_code,street_address raleigh ca zip_code,24,okay are you wanting to make a payment on your subscription
7347,can i please have your full name?,order_issue,status_quantity,customer,calvin klein shirts,calvin klein shirts,calvin klein shirts,60,can i please have your full name
7348,"thanks mr. bouchard, can i have your account number and order number?",order_issue,status_quantity,customer,"great, thank you",great thank you,great thank you,248,thanks mr bouchard can i have your account number and order number
7349,how much would you like to pay today?,order_issue,status_quantity,customer,no that will be all,no that will be all,no that will be all,126,how much would you like to pay today
7350,"okay, so the amount due is $55. how would you like to make payment?",order_issue,status_quantity,customer,you too,you too,you too,30,okay so the amount due is 55 how would you like to make payment
7351,would you like me to use the credit card on file?,order_issue,status_quantity,customer,"hi, i want to return an item",hi i want to return an item,hi i want to return an item,333,would you like me to use the credit card on file
7352,you are all set. is there anything else i can assist you with?,order_issue,status_quantity,customer,order id: <order_id>,order id order_id,order id order_id,124,you are all set is there anything else i can assist you with
7353,"good afternoon, how can i help you?",purchase_dispute,mistimed_billing_never_bought,customer,it has a stain,it has a stain,it has a stain,151,good afternoon how can i help you
7354,"i understand, it looks like it may have been an unintended charge to your bill.",purchase_dispute,mistimed_billing_never_bought,customer,name: crystal minh,name crystal minh,name crystal minh,35,i understand it looks like it may have been an unintended charge to your bill
7355,"let's review, first give me your full name or account id",purchase_dispute,mistimed_billing_never_bought,customer,username: <username>,username username,username username,6,lets review first give me your full name or account id
7356,please,purchase_dispute,mistimed_billing_never_bought,customer,email address: <email>,email address email,email address email,1,please
7357,would give me your account id plus the order id.,purchase_dispute,mistimed_billing_never_bought,customer,member level: bronze,member level bronze,member level bronze,18,would give me your account id plus the order id
7358,to verify your identity,purchase_dispute,mistimed_billing_never_bought,customer,purchase date: 2019-09-11,purchase date  09 11,purchase date  09 11,188,to verify your identity
7359,"ok everything in order, now let me check the system to clarify the problem",purchase_dispute,mistimed_billing_never_bought,customer,in original packaging: no,in original packaging no,in original packaging no,379,ok everything in order now let me check the system to clarify the problem
7360,"it seems that our system gave you an additional charge in error, sorry for the inconvenience",purchase_dispute,mistimed_billing_never_bought,customer,no,no,no,167,it seems that our system gave you an additional charge in error sorry for the inconvenience
7361,let me remove the additional amount on your bill.,purchase_dispute,mistimed_billing_never_bought,customer,"all right, fine then, i will remember this next time i choose store to buy from",all right fine then i will remember this next time i choose store to buy from,all right fine then i will remember this next time i choose store to buy from,237,let me remove the additional amount on your bill
7362,how much was the additional amount?,purchase_dispute,mistimed_billing_never_bought,customer,"hi.  my name is crystal minh.  i am trying to add a michael kors shirt for $<amount> to my cart, but the cart is not updating.  can you help?",hi my name is crystal minh i am trying to add a michael kors shirt for amount to my cart but the cart is not updating can you help,hi my name is crystal minh i am trying to add a michael kors shirt for amount to my cart but the cart is not updating can you help,123,how much was the additional amount
7363,all set mr. albert,purchase_dispute,mistimed_billing_never_bought,customer,i have tried refreshing the page with no luck.,i have tried refreshing the page with no luck,i have tried refreshing the page with no luck,403,all set mr albert
7364,sorry for the mistake,purchase_dispute,mistimed_billing_never_bought,customer,ok i will try that.,ok i will try that,ok i will try that,282,sorry for the mistake
7365,a pleasure to help you.,purchase_dispute,mistimed_billing_never_bought,customer,that solution worked.  i now can see the item in my cart.,that solution worked i now can see the item in my cart,that solution worked i now can see the item in my cart,121,a pleasure to help you
7366,have a nice day,purchase_dispute,mistimed_billing_never_bought,customer,that's it for today.  thanks.,thats it for today thanks,thats it for today thanks,150,have a nice day
7367,i'd be glad to look into that for you. can i have your name?,order_issue,manage_upgrade,customer,you too,you too,you too,30,id be glad to look into that for you can i have your name
7368,can i also have your account id and order id?,order_issue,manage_upgrade,customer,"i'm trying to buy something, but my cart won't update.  any idea on how i can get this to work?",im trying to buy something but my cart wont update any idea on how i can get this to work,im trying to buy something but my cart wont update any idea on how i can get this to work,384,can i also have your account id and order id
7369,what is the current shipping status?,order_issue,manage_upgrade,customer,"no, i don't think so",no i dont think so,no i dont think so,230,what is the current shipping status
7370,"it is too late to make changes, but the good news is you should receive it today or tomorrow.",order_issue,manage_upgrade,customer,"no, it's in stock",no its in stock,no its in stock,166,it is too late to make changes but the good news is you should receive it today or tomorrow
7371,can i help you with anything else?,order_issue,manage_upgrade,customer,sure,sure,sure,17,can i help you with anything else
7372,hello,shipping_issue,missing,customer,"ok, it looks like that worked!",ok it looks like that worked,ok it looks like that worked,347,hello
7373,okay,shipping_issue,missing,customer,"nope, that covers it.  thank you very much",nope that covers it thank you very much,nope that covers it thank you very much,426,okay
7374,give me your fullname or account id,shipping_issue,missing,customer,hi. i am trying to make a purchase and my credit card keeps getting declined. i can't figure out why because my credit card is working fine for other things.,hi i am trying to make a purchase and my credit card keeps getting declined i cant figure out why because my credit card is working fine for other things,hi i am trying to make a purchase and my credit card keeps getting declined i cant figure out why because my credit card is working fine for other things,15,give me your fullname or account id
7375,i need to validate your purchase,shipping_issue,missing,customer,"no, not expired",no not expired,no not expired,228,i need to validate your purchase
7376,"give me your username, email and order id",shipping_issue,missing,customer,sure.,sure,sure,17,give me your username email and order id
7377,it's been 9 days since you ordered this package,shipping_issue,missing,customer,no. still won't go through,no still wont go through,no still wont go through,114,its been days since you ordered this package
7378,i am sorry but it seems the package is lost,shipping_issue,missing,customer,"yes, one second while i try that",yes one second while i try that,yes one second while i try that,205,i am sorry but it seems the package is lost
7379,i will ship a new order for you,shipping_issue,missing,customer,ok. looks like that resolved it! thank you!,ok looks like that resolved it thank you,ok looks like that resolved it thank you,323,i will ship a new order for you
7380,give me your full address,shipping_issue,missing,customer,no that is all,no that is all,no that is all,244,give me your full address
7381,what is the brand and product type?,shipping_issue,missing,customer,i was wanting to know if you can tell me what time the monterey texas store opens,i was wanting to know if you can tell me what time the monterey texas store opens,i was wanting to know if you can tell me what time the monterey texas store opens,237,what is the brand and product type
7382,i have placed a new order for you. you will get your new package within a week,shipping_issue,missing,customer,thank you.  i need to pop into a store and pick somethingup,thank you i need to pop into a store and pick somethingup,thank you i need to pop into a store and pick somethingup,121,i have placed a new order for you you will get your new package within a week
7383,you are welcome,shipping_issue,missing,customer,nope that's all,nope thats all,nope thats all,244,you are welcome
7384,would this be all for today?,shipping_issue,missing,customer,could you tell me when my payment is due for my premium account?,could you tell me when my payment is due for my premium account,could you tell me when my payment is due for my premium account,107,would this be all for today
7385,"hello, how can i help you today?",purchase_dispute,bad_price_competitor,customer,the name it is under is chloe zhang,the name it is under is chloe zhang,the name it is under is chloe zhang,340,hello how can i help you today
7386,"i understand, what's your name?",purchase_dispute,bad_price_competitor,customer,<account_id> <order_id>,account_id order_id,account_id order_id,176,i understand whats your name
7387,"also, what are your account and order ids?",purchase_dispute,bad_price_competitor,customer,can that be paid with my card on file then?,can that be paid with my card on file then,can that be paid with my card on file then,77,also what are your account and order ids
7388,that sounds like your username and account id. do you have your order id?,purchase_dispute,bad_price_competitor,customer,yes i do,yes i do,yes i do,254,that sounds like your username and account id do you have your order id
7389,"great, i found your account with us.",purchase_dispute,bad_price_competitor,customer,no that was all thanks,no that was all thanks,no that was all thanks,164,great i found your account with us
